freq                    ,Gain                    ,Phase                   
6918.309709,-12.45281078,-178.4047542
7244.359601,-13.25643689,-178.3842986
7585.77575,-14.05972744,-178.3603743
7943.282347,-14.86271073,-178.332936
8317.637711,-15.66541237,-178.3019306
8709.6359,-16.46785556,-178.2672969
9120.108394,-17.27006124,-178.2289651
9549.92586,-18.07204831,-178.1868575
10000,-18.87383378,-178.1408878
10471.28548,-19.67543293,-178.0909613
10964.78196,-20.47685944,-178.0369746
11481.53621,-21.2781255,-177.9788154
12022.64435,-22.07924194,-177.9163625
12589.25412,-22.88021831,-177.8494855
13182.56739,-23.68106293,-177.7780443
13803.84265,-24.48178305,-177.7018894
14454.39771,-25.28238481,-177.620861
15135.61248,-26.08287337,-177.5347892
15848.93192,-26.88325292,-177.4434932
16595.86907,-27.68352673,-177.3467815
17378.00829,-28.48369717,-177.244451
18197.00859,-29.28370172,-177.3069118
19054.60718,-30.08366289,-177.2007316
19952.62315,-30.88352201,-177.088631
20892.96131,-31.68327797,-176.9703756
21877.61624,-32.48292879,-176.8457179
22908.67653,-33.2824716,-176.7143977
23988.32919,-34.08190265,-176.5761411
25118.86432,-34.88121726,-176.4306599
26302.67992,-35.6804098,-176.2776514
27542.28703,-36.47942245,-176.2459341
28840.31503,-37.27834499,-176.0829914
30199.5172,-38.0771219,-175.9118078
31622.7766,-38.87574321,-175.7320305
33113.11215,-39.67419772,-175.5432897
34673.68505,-40.47247293,-175.3451985
36307.80548,-41.27051392,-175.2394993
38018.93963,-42.06838353,-175.0262913
39810.71706,-42.86602739,-174.8026896
41686.93835,-43.66342703,-174.5682429
43651.58322,-44.46056225,-174.3224804
45708.81896,-45.25737599,-174.150647
47863.00923,-46.05391159,-173.8848027
50118.72336,-46.85011157,-173.606298
52480.74602,-47.64594894,-173.3145875
54954.08739,-48.44136487,-173.0827351
57543.99373,-49.23638835,-172.7663644
60255.95861,-50.03096237,-172.4351867
63095.73445,-50.82503334,-172.1519829
66069.3448,-51.6186277,-171.7922864
69183.09709,-52.41170795,-171.4159853
72443.59601,-53.20425619,-171.0790206
75857.7575,-53.99636171,-170.6701123
79432.82347,-54.78813111,-170.2426126
83176.37711,-55.57986541,-169.8477866
87096.359,-56.3724614,-169.3832701
91201.08394,-57.16862698,-168.9444359
95499.2586,-57.98283215,-168.4375791
100000,-58.70906905,-167.7813949
